Date;Rate;OMX_Close;Index_Value
2019-01-02 00:00:00;-0,50;1,405.85;28,00
2019-01-03 00:00:00;-0,50;1,393.52;29,30
2019-01-04 00:00:00;-0,50;1,435.29;29,10
2019-01-07 00:00:00;-0,50;1,439.93;29,00
2019-01-08 00:00:00;-0,50;1,457.47;28,90
2019-01-09 00:00:00;-0,25;1,470.51;29,50
2019-01-10 00:00:00;-0,25;1,470.69;29,50
2019-01-11 00:00:00;-0,25;1,465.43;29,10
2019-01-14 00:00:00;-0,25;1,458.13;28,80
2019-01-15 00:00:00;-0,25;1,455.48;28,80
2019-01-16 00:00:00;-0,25;1,468.85;28,90
2019-01-17 00:00:00;-0,25;1,473.89;29,50
2019-01-18 00:00:00;-0,25;1,499.79;29,50
2019-01-21 00:00:00;-0,25;1,493.76;29,70
2019-01-22 00:00:00;-0,25;1,486.32;29,30
2019-01-23 00:00:00;-0,25;1,478.72;28,70
2019-01-24 00:00:00;-0,25;1,488.40;29,20
2019-01-25 00:00:00;-0,25;1,501.12;28,90
2019-01-28 00:00:00;-0,25;1,491.01;28,40
2019-01-29 00:00:00;-0,25;1,502.72;27,90
2019-01-30 00:00:00;-0,25;1,509.50;27,90
2019-01-31 00:00:00;-0,25;1,515.42;28,10
2019-02-01 00:00:00;-0,25;1,525.69;28,60
2019-02-04 00:00:00;-0,25;1,527.19;28,60
2019-02-05 00:00:00;-0,25;1,542.49;29,40
2019-02-06 00:00:00;-0,25;1,551.15;28,80
2019-02-07 00:00:00;-0,25;1,529.28;28,80
2019-02-08 00:00:00;-0,25;1,527.17;28,40
2019-02-11 00:00:00;-0,25;1,542.33;29,00
2019-02-12 00:00:00;-0,25;1,549.41;30,90
2019-02-13 00:00:00;-0,25;1,558.58;31,90
2019-02-14 00:00:00;-0,25;1,562.36;29,50
2019-02-15 00:00:00;-0,25;1,583.82;30,30
2019-02-18 00:00:00;-0,25;1,583.86;32,00
2019-02-19 00:00:00;-0,25;1,587.22;32,20
2019-02-20 00:00:00;-0,25;1,588.61;32,40
2019-02-21 00:00:00;-0,25;1,572.65;31,90
2019-02-22 00:00:00;-0,25;1,588.83;32,30
2019-02-25 00:00:00;-0,25;1,586.55;32,50
2019-02-26 00:00:00;-0,25;1,583.95;32,90
2019-02-27 00:00:00;-0,25;1,576.55;32,70
2019-02-28 00:00:00;-0,25;1,572.68;32,00
2019-03-01 00:00:00;-0,25;1,580.22;32,50
2019-03-04 00:00:00;-0,25;1,587.79;33,60
2019-03-05 00:00:00;-0,25;1,587.97;34,30
2019-03-06 00:00:00;-0,25;1,572.63;34,30
2019-03-07 00:00:00;-0,25;1,558.91;33,80
2019-03-08 00:00:00;-0,25;1,558.63;33,20
2019-03-11 00:00:00;-0,25;1,569.93;33,00
2019-03-12 00:00:00;-0,25;1,565.56;31,70
2019-03-13 00:00:00;-0,25;1,572.80;30,90
2019-03-14 00:00:00;-0,25;1,590.76;31,30
2019-03-15 00:00:00;-0,25;1,595.76;31,60
2019-03-18 00:00:00;-0,25;1,605.01;32,50
2019-03-19 00:00:00;-0,25;1,615.14;33,40
2019-03-20 00:00:00;-0,25;1,605.99;33,20
2019-03-21 00:00:00;-0,25;1,605.03;32,30
2019-03-22 00:00:00;-0,25;1,576.87;31,70
2019-03-25 00:00:00;-0,25;1,573.66;33,00
2019-03-26 00:00:00;-0,25;1,574.16;33,20
2019-03-27 00:00:00;-0,25;1,565.85;32,90
2019-03-28 00:00:00;-0,25;1,559.32;32,90
2019-03-29 00:00:00;-0,25;1,553.42;33,00
2019-04-01 00:00:00;-0,25;1,580.33;33,90
2019-04-02 00:00:00;-0,25;1,593.95;33,50
2019-04-03 00:00:00;-0,25;1,622.38;33,50
2019-04-04 00:00:00;-0,25;1,616.24;33,00
2019-04-05 00:00:00;-0,25;1,622.27;33,50
2019-04-08 00:00:00;-0,25;1,624.52;33,00
2019-04-09 00:00:00;-0,25;1,616.56;33,10
2019-04-10 00:00:00;-0,25;1,628.55;33,40
2019-04-11 00:00:00;-0,25;1,627.03;33,40
2019-04-12 00:00:00;-0,25;1,641.21;33,50
2019-04-15 00:00:00;-0,25;1,642.63;33,80
2019-04-16 00:00:00;-0,25;1,647.52;33,80
2019-04-17 00:00:00;-0,25;1,660.14;33,50
2019-04-18 00:00:00;-0,25;1,670.74;33,70
2019-04-23 00:00:00;-0,25;1,672.18;33,90
2019-04-24 00:00:00;-0,25;1,680.72;33,40
2019-04-25 00:00:00;-0,25;1,689.42;33,00
2019-04-26 00:00:00;-0,25;1,689.04;33,90
2019-04-29 00:00:00;-0,25;1,693.31;33,20
2019-04-30 00:00:00;-0,25;1,676.14;33,00
2019-05-02 00:00:00;-0,25;1,665.45;32,60
2019-05-03 00:00:00;-0,25;1,672.33;33,00
2019-05-06 00:00:00;-0,25;1,649.22;33,00
2019-05-07 00:00:00;-0,25;1,617.85;32,00
2019-05-08 00:00:00;-0,25;1,623.37;33,20
2019-05-09 00:00:00;-0,25;1,596.69;32,20
2019-05-10 00:00:00;-0,25;1,603.37;31,80
2019-05-13 00:00:00;-0,25;1,573.84;30,60
2019-05-14 00:00:00;-0,25;1,590.82;31,20
2019-05-15 00:00:00;-0,25;1,593.32;32,00
2019-05-16 00:00:00;-0,25;1,615.38;31,60
2019-05-17 00:00:00;-0,25;1,606.86;31,70
2019-05-20 00:00:00;-0,25;1,588.90;31,10
2019-05-21 00:00:00;-0,25;1,602.91;31,20
2019-05-22 00:00:00;-0,25;1,595.64;31,40
2019-05-23 00:00:00;-0,25;1,561.17;31,20
2019-05-24 00:00:00;-0,25;1,571.52;31,00
2019-05-27 00:00:00;-0,25;1,568.23;31,70
2019-05-28 00:00:00;-0,25;1,565.12;31,80
2019-05-29 00:00:00;-0,25;1,538.75;31,70
2019-05-31 00:00:00;-0,25;1,510.46;32,60
2019-06-03 00:00:00;-0,25;1,518.23;31,80
2019-06-04 00:00:00;-0,25;1,537.31;31,00
2019-06-05 00:00:00;-0,25;1,542.00;31,40
2019-06-07 00:00:00;-0,25;1,566.14;31,50
2019-06-10 00:00:00;-0,25;1,566.14;31,50
2019-06-11 00:00:00;-0,25;1,593.36;31,60
2019-06-12 00:00:00;-0,25;1,593.60;31,30
2019-06-13 00:00:00;-0,25;1,598.12;32,30
2019-06-14 00:00:00;-0,25;1,589.60;31,60
2019-06-17 00:00:00;-0,25;1,589.60;31,60
2019-06-18 00:00:00;-0,25;1,609.43;31,10
2019-06-19 00:00:00;-0,25;1,612.40;31,70
2019-06-20 00:00:00;-0,25;1,628.29;31,60
2019-06-24 00:00:00;-0,25;1,610.94;30,70
2019-06-25 00:00:00;-0,25;1,607.29;31,60
2019-06-26 00:00:00;-0,25;1,604.23;31,00
2019-06-27 00:00:00;-0,25;1,616.94;30,70
2019-06-28 00:00:00;-0,25;1,622.43;30,90
2019-07-01 00:00:00;-0,25;1,642.00;30,60
2019-07-02 00:00:00;-0,25;1,647.02;30,80
2019-07-03 00:00:00;-0,25;1,648.84;30,40
2019-07-04 00:00:00;-0,25;1,652.25;30,00
2019-07-05 00:00:00;-0,25;1,634.94;30,50
2019-07-08 00:00:00;-0,25;1,642.07;30,10
2019-07-09 00:00:00;-0,25;1,630.88;30,00
2019-07-10 00:00:00;-0,25;1,622.45;30,00
2019-07-11 00:00:00;-0,25;1,613.21;29,60
2019-07-12 00:00:00;-0,25;1,625.62;30,40
2019-07-15 00:00:00;-0,25;1,632.91;29,80
2019-07-16 00:00:00;-0,25;1,630.57;29,90
2019-07-17 00:00:00;-0,25;1,598.06;30,60
2019-07-18 00:00:00;-0,25;1,577.41;29,20
2019-07-19 00:00:00;-0,25;1,605.42;29,20
2019-07-22 00:00:00;-0,25;1,600.88;29,60
2019-07-23 00:00:00;-0,25;1,624.77;29,80
2019-07-24 00:00:00;-0,25;1,613.06;30,00
2019-07-25 00:00:00;-0,25;1,607.20;29,40
2019-07-26 00:00:00;-0,25;1,610.64;29,60
2019-07-29 00:00:00;-0,25;1,614.30;29,90
2019-07-30 00:00:00;-0,25;1,600.26;29,80
2019-07-31 00:00:00;-0,25;1,599.78;30,10
2019-08-01 00:00:00;-0,25;1,612.91;31,40
2019-08-02 00:00:00;-0,25;1,568.70;31,00
2019-08-05 00:00:00;-0,25;1,568.70;31,00
2019-08-06 00:00:00;-0,25;1,523.03;30,70
2019-08-07 00:00:00;-0,25;1,528.19;31,90
2019-08-08 00:00:00;-0,25;1,550.62;32,00
2019-08-09 00:00:00;-0,25;1,531.52;31,40
2019-08-12 00:00:00;-0,25;1,533.06;30,80
2019-08-13 00:00:00;-0,25;1,543.36;30,30
2019-08-14 00:00:00;-0,25;1,500.06;29,20
2019-08-15 00:00:00;-0,25;1,495.71;30,50
2019-08-16 00:00:00;-0,25;1,519.41;30,70
2019-08-19 00:00:00;-0,25;1,538.97;30,80
2019-08-20 00:00:00;-0,25;1,534.34;29,90
2019-08-21 00:00:00;-0,25;1,543.47;30,00
2019-08-22 00:00:00;-0,25;1,535.51;29,90
2019-08-23 00:00:00;-0,25;1,522.85;30,50
2019-08-26 00:00:00;-0,25;1,520.85;30,20
2019-08-27 00:00:00;-0,25;1,530.81;30,40
2019-08-28 00:00:00;-0,25;1,529.13;30,00
2019-08-29 00:00:00;-0,25;1,558.74;30,10
2019-08-30 00:00:00;-0,25;1,576.98;30,30
2019-09-02 00:00:00;-0,25;1,570.19;29,90
2019-09-03 00:00:00;-0,25;1,568.66;29,90
2019-09-04 00:00:00;-0,25;1,581.28;29,40
2019-09-05 00:00:00;-0,25;1,597.34;29,20
2019-09-06 00:00:00;-0,25;1,601.95;28,80
2019-09-09 00:00:00;-0,25;1,610.70;30,10
2019-09-10 00:00:00;-0,25;1,624.98;30,00
