Date;Rate;OMX_Close;Index_Value
2019-01-02 00:00:00;-0,50;1,405.85;111,81
2019-01-03 00:00:00;-0,50;1,393.52;111,71
2019-01-04 00:00:00;-0,50;1,435.29;113,87
2019-01-07 00:00:00;-0,50;1,439.93;114,87
2019-01-08 00:00:00;-0,50;1,457.47;116,10
2019-01-09 00:00:00;-0,25;1,470.51;117,00
2019-01-10 00:00:00;-0,25;1,470.69;117,09
2019-01-11 00:00:00;-0,25;1,465.43;116,62
2019-01-14 00:00:00;-0,25;1,458.13;116,28
2019-01-15 00:00:00;-0,25;1,455.48;115,69
2019-01-16 00:00:00;-0,25;1,468.85;115,94
2019-01-17 00:00:00;-0,25;1,473.89;116,60
2019-01-18 00:00:00;-0,25;1,499.79;117,49
2019-01-21 00:00:00;-0,25;1,493.76;117,32
2019-01-22 00:00:00;-0,25;1,486.32;116,48
2019-01-23 00:00:00;-0,25;1,478.72;116,01
2019-01-24 00:00:00;-0,25;1,488.40;116,31
2019-01-25 00:00:00;-0,25;1,501.12;116,89
2019-01-28 00:00:00;-0,25;1,491.01;117,45
2019-01-29 00:00:00;-0,25;1,502.72;118,04
2019-01-30 00:00:00;-0,25;1,509.50;118,63
2019-01-31 00:00:00;-0,25;1,515.42;119,53
2019-02-01 00:00:00;-0,25;1,525.69;119,59
2019-02-04 00:00:00;-0,25;1,527.19;120,84
2019-02-05 00:00:00;-0,25;1,542.49;121,64
2019-02-06 00:00:00;-0,25;1,551.15;121,60
2019-02-07 00:00:00;-0,25;1,529.28;120,57
2019-02-08 00:00:00;-0,25;1,527.17;120,43
2019-02-11 00:00:00;-0,25;1,542.33;122,04
2019-02-12 00:00:00;-0,25;1,549.41;122,94
2019-02-13 00:00:00;-0,25;1,558.58;125,02
2019-02-14 00:00:00;-0,25;1,562.36;124,25
2019-02-15 00:00:00;-0,25;1,583.82;124,64
2019-02-18 00:00:00;-0,25;1,583.86;124,88
2019-02-19 00:00:00;-0,25;1,587.22;124,76
2019-02-20 00:00:00;-0,25;1,588.61;123,75
2019-02-21 00:00:00;-0,25;1,572.65;121,73
2019-02-22 00:00:00;-0,25;1,588.83;122,39
2019-02-25 00:00:00;-0,25;1,586.55;122,90
2019-02-26 00:00:00;-0,25;1,583.95;123,15
2019-02-27 00:00:00;-0,25;1,576.55;122,86
2019-02-28 00:00:00;-0,25;1,572.68;122,45
2019-03-01 00:00:00;-0,25;1,580.22;122,23
2019-03-04 00:00:00;-0,25;1,587.79;122,11
2019-03-05 00:00:00;-0,25;1,587.97;122,60
2019-03-06 00:00:00;-0,25;1,572.63;122,37
2019-03-07 00:00:00;-0,25;1,558.91;121,70
2019-03-08 00:00:00;-0,25;1,558.63;122,01
2019-03-11 00:00:00;-0,25;1,569.93;123,05
2019-03-12 00:00:00;-0,25;1,565.56;123,70
2019-03-13 00:00:00;-0,25;1,572.80;124,33
2019-03-14 00:00:00;-0,25;1,590.76;124,62
2019-03-15 00:00:00;-0,25;1,595.76;124,98
2019-03-18 00:00:00;-0,25;1,605.01;125,32
2019-03-19 00:00:00;-0,25;1,615.14;125,56
2019-03-20 00:00:00;-0,25;1,605.99;125,54
2019-03-21 00:00:00;-0,25;1,605.03;125,83
2019-03-22 00:00:00;-0,25;1,576.87;124,68
2019-03-25 00:00:00;-0,25;1,573.66;123,62
2019-03-26 00:00:00;-0,25;1,574.16;124,18
2019-03-27 00:00:00;-0,25;1,565.85;123,68
2019-03-28 00:00:00;-0,25;1,559.32;124,20
2019-03-29 00:00:00;-0,25;1,553.42;125,00
2019-04-01 00:00:00;-0,25;1,580.33;126,30
2019-04-02 00:00:00;-0,25;1,593.95;126,15
2019-04-03 00:00:00;-0,25;1,622.38;126,84
2019-04-04 00:00:00;-0,25;1,616.24;126,25
2019-04-05 00:00:00;-0,25;1,622.27;126,72
2019-04-08 00:00:00;-0,25;1,624.52;126,69
2019-04-09 00:00:00;-0,25;1,616.56;126,83
2019-04-10 00:00:00;-0,25;1,628.55;127,40
2019-04-11 00:00:00;-0,25;1,627.03;127,80
2019-04-12 00:00:00;-0,25;1,641.21;128,90
2019-04-15 00:00:00;-0,25;1,642.63;127,95
2019-04-16 00:00:00;-0,25;1,647.52;127,85
2019-04-17 00:00:00;-0,25;1,660.14;127,57
2019-04-18 00:00:00;-0,25;1,670.74;128,23
2019-04-19 00:00:00;-0,25;1,670.74;128,23
2019-04-22 00:00:00;-0,25;1,670.74;128,26
2019-04-23 00:00:00;-0,25;1,672.18;129,21
2019-04-24 00:00:00;-0,25;1,680.72;128,93
2019-04-25 00:00:00;-0,25;1,689.42;129,09
2019-04-26 00:00:00;-0,25;1,689.04;128,88
2019-04-29 00:00:00;-0,25;1,693.31;129,09
2019-04-30 00:00:00;-0,25;1,676.14;130,71
2019-05-01 00:00:00;-0,25;1,676.14;130,78
2019-05-02 00:00:00;-0,25;1,665.45;131,43
2019-05-03 00:00:00;-0,25;1,672.33;132,19
2019-05-06 00:00:00;-0,25;1,649.22;130,70
2019-05-07 00:00:00;-0,25;1,617.85;130,10
2019-05-08 00:00:00;-0,25;1,623.37;130,59
2019-05-09 00:00:00;-0,25;1,596.69;129,38
2019-05-10 00:00:00;-0,25;1,603.37;130,52
2019-05-13 00:00:00;-0,25;1,573.84;128,88
2019-05-14 00:00:00;-0,25;1,590.82;130,67
2019-05-15 00:00:00;-0,25;1,593.32;131,06
2019-05-16 00:00:00;-0,25;1,615.38;133,47
2019-05-17 00:00:00;-0,25;1,606.86;133,97
2019-05-20 00:00:00;-0,25;1,588.90;132,66
2019-05-21 00:00:00;-0,25;1,602.91;133,41
2019-05-22 00:00:00;-0,25;1,595.64;134,34
2019-05-23 00:00:00;-0,25;1,561.17;132,39
2019-05-24 00:00:00;-0,25;1,571.52;132,67
2019-05-27 00:00:00;-0,25;1,568.23;132,92
2019-05-28 00:00:00;-0,25;1,565.12;133,81
2019-05-29 00:00:00;-0,25;1,538.75;131,90
2019-05-30 00:00:00;-0,25;1,538.75;131,82
2019-05-31 00:00:00;-0,25;1,510.46;131,62
2019-06-03 00:00:00;-0,25;1,518.23;130,46
2019-06-04 00:00:00;-0,25;1,537.31;130,57
2019-06-05 00:00:00;-0,25;1,542.00;131,58
2019-06-06 00:00:00;-0,25;1,542.00;131,56
2019-06-07 00:00:00;-0,25;1,566.14;133,10
2019-06-10 00:00:00;-0,25;1,566.14;133,25
2019-06-11 00:00:00;-0,25;1,593.36;133,32
2019-06-12 00:00:00;-0,25;1,593.60;133,00
2019-06-13 00:00:00;-0,25;1,598.12;133,29
2019-06-14 00:00:00;-0,25;1,589.60;133,03
2019-06-17 00:00:00;-0,25;1,589.60;132,52
2019-06-18 00:00:00;-0,25;1,609.43;133,47
2019-06-19 00:00:00;-0,25;1,612.40;133,04
2019-06-20 00:00:00;-0,25;1,628.29;134,18
2019-06-21 00:00:00;-0,25;1,628.29;134,12
2019-06-24 00:00:00;-0,25;1,610.94;133,87
2019-06-25 00:00:00;-0,25;1,607.29;133,65
2019-06-26 00:00:00;-0,25;1,604.23;133,23
2019-06-27 00:00:00;-0,25;1,616.94;134,74
2019-06-28 00:00:00;-0,25;1,622.43;135,24
2019-07-01 00:00:00;-0,25;1,642.00;136,18
2019-07-02 00:00:00;-0,25;1,647.02;136,34
2019-07-03 00:00:00;-0,25;1,648.84;137,36
2019-07-04 00:00:00;-0,25;1,652.25;137,79
2019-07-05 00:00:00;-0,25;1,634.94;137,40
2019-07-08 00:00:00;-0,25;1,642.07;137,33
2019-07-09 00:00:00;-0,25;1,630.88;137,27
2019-07-10 00:00:00;-0,25;1,622.45;138,40
2019-07-11 00:00:00;-0,25;1,613.21;138,95
2019-07-12 00:00:00;-0,25;1,625.62;139,85
2019-07-15 00:00:00;-0,25;1,632.91;139,33
2019-07-16 00:00:00;-0,25;1,630.57;137,19
2019-07-17 00:00:00;-0,25;1,598.06;136,32
2019-07-18 00:00:00;-0,25;1,577.41;135,06
2019-07-19 00:00:00;-0,25;1,605.42;135,95
2019-07-22 00:00:00;-0,25;1,600.88;136,88
2019-07-23 00:00:00;-0,25;1,624.77;137,46
2019-07-24 00:00:00;-0,25;1,613.06;137,32
2019-07-25 00:00:00;-0,25;1,607.20;137,08
2019-07-26 00:00:00;-0,25;1,610.64;137,48
2019-07-29 00:00:00;-0,25;1,614.30;137,75
2019-07-30 00:00:00;-0,25;1,600.26;137,83
2019-07-31 00:00:00;-0,25;1,599.78;138,24
2019-08-01 00:00:00;-0,25;1,612.91;138,53
2019-08-02 00:00:00;-0,25;1,568.70;137,25
2019-08-05 00:00:00;-0,25;1,568.70;134,00
2019-08-06 00:00:00;-0,25;1,523.03;134,49
2019-08-07 00:00:00;-0,25;1,528.19;134,85
2019-08-08 00:00:00;-0,25;1,550.62;136,12
2019-08-09 00:00:00;-0,25;1,531.52;135,29
2019-08-12 00:00:00;-0,25;1,533.06;134,88
2019-08-13 00:00:00;-0,25;1,543.36;134,15
2019-08-14 00:00:00;-0,25;1,500.06;132,05
2019-08-15 00:00:00;-0,25;1,495.71;129,96
2019-08-16 00:00:00;-0,25;1,519.41;132,02
2019-08-19 00:00:00;-0,25;1,538.97;133,84
2019-08-20 00:00:00;-0,25;1,534.34;134,53
2019-08-21 00:00:00;-0,25;1,543.47;136,38
2019-08-22 00:00:00;-0,25;1,535.51;136,08
2019-08-23 00:00:00;-0,25;1,522.85;135,63
2019-08-26 00:00:00;-0,25;1,520.85;135,13
2019-08-27 00:00:00;-0,25;1,530.81;135,56
2019-08-28 00:00:00;-0,25;1,529.13;134,56
2019-08-29 00:00:00;-0,25;1,558.74;134,14
