Date;RATE_Styrränta;Novotek_Open;OMX_Close 
2019-01-02 00:00:00;-0,50;28,60;1,405.85
2019-01-03 00:00:00;-0,50;28,00;1,393.52
2019-01-04 00:00:00;-0,50;29,30;1,435.29
2019-01-07 00:00:00;-0,50;29,10;1,439.93
2019-01-08 00:00:00;-0,50;29,20;1,457.47
2019-01-09 00:00:00;-0,25;28,90;1,470.51
2019-01-10 00:00:00;-0,25;29,00;1,470.69
2019-01-11 00:00:00;-0,25;29,50;1,465.43
2019-01-14 00:00:00;-0,25;29,20;1,458.13
2019-01-15 00:00:00;-0,25;28,90;1,455.48
2019-01-16 00:00:00;-0,25;28,80;1,468.85
2019-01-17 00:00:00;-0,25;28,60;1,473.89
2019-01-18 00:00:00;-0,25;29,50;1,499.79
2019-01-21 00:00:00;-0,25;29,60;1,493.76
2019-01-22 00:00:00;-0,25;29,70;1,486.32
2019-01-23 00:00:00;-0,25;29,40;1,478.72
2019-01-24 00:00:00;-0,25;29,50;1,488.40
2019-01-25 00:00:00;-0,25;29,20;1,501.12
2019-01-28 00:00:00;-0,25;28,90;1,491.01
2019-01-29 00:00:00;-0,25;28,20;1,502.72
2019-01-30 00:00:00;-0,25;28,00;1,509.50
2019-01-31 00:00:00;-0,25;27,90;1,515.42
2019-02-01 00:00:00;-0,25;28,20;1,525.69
2019-02-04 00:00:00;-0,25;28,60;1,527.19
2019-02-05 00:00:00;-0,25;28,30;1,542.49
2019-02-06 00:00:00;-0,25;29,20;1,551.15
2019-02-07 00:00:00;-0,25;28,60;1,529.28
2019-02-08 00:00:00;-0,25;28,50;1,527.17
2019-02-11 00:00:00;-0,25;28,00;1,542.33
2019-02-12 00:00:00;-0,25;29,40;1,549.41
2019-02-13 00:00:00;-0,25;31,60;1,558.58
2019-02-14 00:00:00;-0,25;31,90;1,562.36
2019-02-15 00:00:00;-0,25;29,50;1,583.82
2019-02-18 00:00:00;-0,25;31,00;1,583.86
2019-02-19 00:00:00;-0,25;32,00;1,587.22
2019-02-20 00:00:00;-0,25;32,30;1,588.61
2019-02-21 00:00:00;-0,25;32,40;1,572.65
2019-02-22 00:00:00;-0,25;31,90;1,588.83
2019-02-25 00:00:00;-0,25;32,20;1,586.55
2019-02-26 00:00:00;-0,25;32,50;1,583.95
2019-02-27 00:00:00;-0,25;32,90;1,576.55
2019-02-28 00:00:00;-0,25;32,70;1,572.68
2019-03-01 00:00:00;-0,25;32,20;1,580.22
2019-03-04 00:00:00;-0,25;33,70;1,587.79
2019-03-05 00:00:00;-0,25;34,50;1,587.97
2019-03-06 00:00:00;-0,25;34,30;1,572.63
2019-03-07 00:00:00;-0,25;34,00;1,558.91
2019-03-08 00:00:00;-0,25;33,80;1,558.63
2019-03-11 00:00:00;-0,25;33,20;1,569.93
2019-03-12 00:00:00;-0,25;32,40;1,565.56
2019-03-13 00:00:00;-0,25;31,60;1,572.80
2019-03-14 00:00:00;-0,25;30,80;1,590.76
2019-03-15 00:00:00;-0,25;31,40;1,595.76
2019-03-18 00:00:00;-0,25;31,70;1,605.01
2019-03-19 00:00:00;-0,25;32,80;1,615.14
2019-03-20 00:00:00;-0,25;33,60;1,605.99
2019-03-21 00:00:00;-0,25;32,90;1,605.03
2019-03-22 00:00:00;-0,25;32,60;1,576.87
2019-03-25 00:00:00;-0,25;32,00;1,573.66
2019-03-26 00:00:00;-0,25;33,00;1,574.16
2019-03-27 00:00:00;-0,25;32,10;1,565.85
2019-03-28 00:00:00;-0,25;33,00;1,559.32
2019-03-29 00:00:00;-0,25;32,40;1,553.42
2019-04-01 00:00:00;-0,25;34,00;1,580.33
2019-04-02 00:00:00;-0,25;34,90;1,593.95
2019-04-03 00:00:00;-0,25;33,10;1,622.38
2019-04-04 00:00:00;-0,25;33,10;1,616.24
2019-04-05 00:00:00;-0,25;33,30;1,622.27
2019-04-08 00:00:00;-0,25;33,40;1,624.52
2019-04-09 00:00:00;-0,25;33,50;1,616.56
2019-04-10 00:00:00;-0,25;33,10;1,628.55
2019-04-11 00:00:00;-0,25;33,60;1,627.03
2019-04-12 00:00:00;-0,25;33,40;1,641.21
2019-04-15 00:00:00;-0,25;33,50;1,642.63
2019-04-16 00:00:00;-0,25;34,00;1,647.52
2019-04-17 00:00:00;-0,25;33,80;1,660.14
2019-04-18 00:00:00;-0,25;33,80;1,670.74
2019-04-23 00:00:00;-0,25;33,70;1,672.18
2019-04-24 00:00:00;-0,25;33,90;1,680.72
2019-04-25 00:00:00;-0,25;33,40;1,689.42
2019-04-26 00:00:00;-0,25;33,10;1,689.04
2019-04-29 00:00:00;-0,25;34,00;1,693.31
2019-04-30 00:00:00;-0,25;33,20;1,676.14
2019-05-02 00:00:00;-0,25;32,10;1,665.45
2019-05-03 00:00:00;-0,25;33,00;1,672.33
2019-05-06 00:00:00;-0,25;32,40;1,649.22
2019-05-07 00:00:00;-0,25;33,00;1,617.85
2019-05-08 00:00:00;-0,25;32,00;1,623.37
2019-05-09 00:00:00;-0,25;32,10;1,596.69
2019-05-10 00:00:00;-0,25;32,20;1,603.37
2019-05-13 00:00:00;-0,25;31,90;1,573.84
2019-05-14 00:00:00;-0,25;30,60;1,590.82
2019-05-15 00:00:00;-0,25;31,00;1,593.32
2019-05-16 00:00:00;-0,25;31,90;1,615.38
2019-05-17 00:00:00;-0,25;31,80;1,606.86
2019-05-20 00:00:00;-0,25;31,60;1,588.90
